strategy_definition,trade_count,unique_entry_signals,suggested_sl_ratio,suggested_tp_ratio,risk_reward_ratio,strategy_score,Avg. Exposure Time [%],Avg. Equity Final [$],Avg. Equity Peak [$],Avg. Commissions [$],Avg. Return [%],Avg. Buy & Hold Return [%],Avg. Return (Ann.) [%],Avg. Volatility (Ann.) [%],Avg. CAGR [%],Avg. Sharpe Ratio,Avg. Sortino Ratio,Avg. Calmar Ratio,Avg. Alpha [%],Avg. Beta,Avg. Max. Drawdown [%],Avg. Avg. Drawdown [%],Avg. # Trades,Avg. Win Rate [%],Avg. Best Trade [%],Avg. Worst Trade [%],Avg. Avg. Trade [%],Avg. Profit Factor,Avg. Expectancy [%],Avg. SQN,Avg. Kelly Criterion
"{'trade_type': 'buy', 'price_vs_sma50_ratio_qbin': 'q_4', 'RSI_14_qbin': 'q_2', 'price_vs_ema50_ratio_qbin': 'q_2'}",768.0,16.0,0.0058632809668779,0.0061406244834264,1.0473017612690243,16.75682818030439,8.599278557114229,10068.05816385763,10232.919261708728,72.25788102465646,0.6805816385762811,30.45380892657188,1.556433044213735,1.8293470542591015,1.3419686237836495,0.36984491211888354,0.758032844282513,0.7926499823450966,0.2910978919654532,0.08514329887848202,-2.791222989581259,-0.5560518244891887,18.48,55.60890267875892,0.6242954404129621,-0.687381791567896,0.037266300788684426,1.2974615787532842,0.03901132507742626,0.2720055485589028,0.060646857999582714
"{'trade_type': 'buy', 'price_vs_sma50_ratio_qbin': 'q_4', 'price_vs_ema50_ratio_qbin': 'q_2', 'price_vs_ema13_ratio_qbin': 'q_1'}",798.0,19.0,0.005849624337409,0.0059473681868168,1.0167094233355596,19.31747904337563,8.786853707414831,10082.051325116267,10239.329123873977,76.11704567927912,0.820513251162674,30.45380892657188,1.2195461022044092,1.8054505759206732,1.0503825879596098,0.3415329111316487,0.7362236100147304,0.812133235956846,0.4308165063771654,0.08924572753724787,-2.6773865963846113,-0.4574823609626641,19.48,58.385358323349585,0.6070259424986891,-0.6860965178709839,0.061608895775193684,1.4649066784599216,0.0632673693351598,0.4108499341728933,0.10346084461425857
"{'trade_type': 'buy', 'price_vs_sma50_ratio_qbin': 'q_4', 'price_vs_sma20_ratio_qbin': 'q_1', 'price_vs_ema50_ratio_qbin': 'q_2'}",749.0,15.0,0.0058664887228381,0.0062576766326048,1.0666817798939672,16.000226698409506,7.627294589178356,10078.767227022458,10200.557316319864,61.280965845933686,0.7876722702245796,30.45380892657188,0.9850149798143005,1.717899925681607,0.8491136626174215,0.32674911411642626,0.6004635065577283,0.5802687692062769,0.4509687518036145,0.07732009578422765,-2.3648420117287623,-0.5336200951810691,15.72,56.538398096452966,0.6329719809410219,-0.6868574199391496,0.05311044360457684,1.4227063789808845,0.05487864504672986,0.37761581066155364,0.08786675438997986
"{'price_vs_sma200_ratio_qbin': 'q_1', 'trade_type': 'buy', 'price_vs_sma50_ratio_qbin': 'q_4', 'RSI_14_qbin': 'q_2'}",944.0,21.0,0.0058622880507323,0.00615042347019,1.049150675805098,22.032164191907057,8.44937875751503,10047.827583290418,10197.805099189416,70.36498279673744,0.47827583290417475,30.45380892657188,0.9943906600240199,1.7560054720358227,0.8513060860431216,0.20310488288362283,0.6110009451588576,0.803557798352374,0.08433027369795347,0.08278477312455697,-2.579945490045052,-0.609559021817915,18.12,53.54769102553294,0.6354049800921826,-0.6964421665421112,0.01733380641000748,1.2695718590727676,0.019080780303380205,0.16441464162963323,0.02242974884194935
"{'atr_ratio_qbin': 'q_3', 'trade_type': 'buy', 'price_vs_sma50_ratio_qbin': 'q_4', 'price_vs_ema13_ratio_qbin': 'q_1'}",1757.0,54.0,0.0058645417762196,0.0058952759258029,1.0052406736546635,54.28299637735183,20.513947895791585,10016.31866104062,10344.391943943776,257.16612262073227,0.16318661040619348,30.45380892657188,0.5544641321402812,2.8536157466576406,0.468648684373714,0.09105890547402813,0.19364031049222358,0.2814038138816126,-0.8190694778781744,0.16237456745060258,-5.333535287413506,-0.5484528722210491,66.08,53.37178916015485,0.6653633564436764,-0.7565675078464774,-0.0004959894503064888,1.0333557463376162,0.001222465468663278,0.015978433016437695,-0.002608452259471441
"{'atr_ratio_qbin': 'q_3', 'trade_type': 'buy', 'price_vs_sma50_ratio_qbin': 'q_4', 'price_vs_sma20_ratio_qbin': 'q_1'}",1312.0,31.0,0.0058704269368474,0.0063810973632626,1.0869903385067048,33.69670049370785,14.855430861723447,10017.034521626392,10295.668194474714,151.60939048882307,0.17034521626393478,30.45380892657188,0.40168903099698205,2.391922806870386,0.36515945340029304,0.06988617306084129,0.15344971781930491,0.25661632600184825,-0.46488845983416366,0.1192395567395408,-4.39857333332211,-0.5344653961368719,38.96,51.495847978565116,0.6998264342440347,-0.729842741451195,0.0030954662787956444,1.0646121506874473,0.004965819175634749,0.03167041134676968,0.005177435743640222
"{'atr_ratio_qbin': 'q_3', 'price_vs_sma200_ratio_qbin': 'q_2', 'trade_type': 'buy', 'ema_short_vs_long_ratio_qbin': 'q_5'}",2465.0,53.0,0.005872616564768,0.0061578092903926,1.0485631442950891,55.57384664763973,10.750380761523047,9989.13365723617,10208.428107538515,91.67108056307985,-0.10866342763829598,30.45380892657188,0.3798227981056365,1.9516271498506703,0.3876239224019078,0.05461596404873745,0.14406374510578815,0.19386927142794763,-0.502385183813067,0.08896028694855111,-3.5216264591542363,-0.436854720761559,23.48,51.43952568656585,0.6934079065516674,-0.6703828905265756,-0.008164611639123631,1.0514657503255567,-0.006375031708053361,-0.056221969753368996,-0.01626878737184202
"{'price_vs_sma200_ratio_qbin': 'q_1', 'trade_type': 'buy', 'price_vs_sma50_ratio_qbin': 'q_4', 'price_vs_sma20_ratio_qbin': 'q_1'}",945.0,23.0,0.0058571426956741,0.0061238092089456,1.045528430350242,24.04715389805557,6.124769539078156,9998.75065991486,10128.275153137993,54.283490190020984,-0.01249340085139913,30.45380892657188,-0.049134040049903405,1.5518023927521647,-0.046965129461193446,-0.02128535575504846,0.21347837810470846,0.22397250850063596,-0.3171714811888643,0.06505718585347148,-2.508820528287331,-0.635838826874791,14.04,51.667828250181195,0.6144998420628375,-0.7084591370638975,-0.011040291727152152,1.1030387435159354,-0.00925776904184964,-0.04847759110186842,-0.023864675700561052
"{'bullish_ratio_last_50_qbin': 'q_1', 'ADX_qbin': 'q_2', 'trade_type': 'buy', 'price_vs_sma100_ratio_qbin': 'q_5'}",1441.0,25.0,0.0059340733111856,0.0065176961820709,1.09835113930683,27.458778482670752,11.200721442885772,9931.94820979871,10212.051756888997,137.5922748146827,-0.6805179020129043,30.45380892657188,0.189652575315729,2.1310049948782495,0.1623594896300906,-0.02259557986617887,0.11267780762841564,0.21480114228402708,-1.1820077319659936,0.09866184455841177,-4.579649580195953,-1.617095677070684,35.56,49.297833147714194,0.6642056307740998,-0.6690406630126514,-0.019366444038320108,1.039781790982992,-0.01749338617150474,-0.20633039162856315,-0.03455224108149233
"{'price_vs_sma200_ratio_qbin': 'q_1', 'trade_type': 'buy', 'price_vs_sma50_ratio_qbin': 'q_4', 'bb_position_qbin': 'q_1'}",915.0,21.0,0.0058688523339443,0.0062808740334432,1.0702048162152342,22.47430114051992,6.963807615230461,9992.688199511482,10149.92116907714,50.547452631228545,-0.07311800488515657,30.45380892657188,-0.12376635027758946,1.4712804059065474,-0.10979463991054889,-0.03604534628077907,0.017457218101284856,0.060227960329662295,-0.34574955531050783,0.06307386482114757,-2.5052719588875796,-0.6703955708913792,13.0,50.3034780607536,0.6062116522046417,-0.6496778304268385,-0.013521832605510209,1.050594203296429,-0.011749294050254535,-0.060575985308365644,-0.02399710597322637
"{'trade_type': 'buy', 'price_vs_sma100_ratio_qbin': 'q_3', 'price_vs_sma50_ratio_qbin': 'q_4', 'price_vs_sma20_ratio_qbin': 'q_1'}",1023.0,26.0,0.0059403715944709,0.0060430104431868,1.0172781865719305,26.449232850870185,11.4064128256513,10009.622318975576,10206.849563910953,96.87433997915096,0.09622318975576123,30.45380892657188,-0.1792359683264749,1.9579463425316097,-0.18764327417580923,-0.03850735735254305,0.06166514837862048,0.0878859004804622,-0.3538140160685576,0.10358280678415714,-3.49893563545635,-0.5672860490515982,25.04,53.692053305301954,0.6247364873617295,-0.6682553230452062,0.010867632158096718,1.1345795749001086,0.01259666788482667,0.03756141326026923,0.020592995338576156
"{'price_vs_sma200_ratio_qbin': 'q_3', 'trade_type': 'buy', 'price_vs_sma100_ratio_qbin': 'q_5', 'price_vs_ema13_ratio_qbin': 'q_2'}",788.0,23.0,0.0058540608072038,0.0058730967758875,1.0032517545188928,23.07479035393453,8.920200400801603,9898.112796604555,10107.935993925856,91.79003060848261,-1.0188720339544555,30.45380892657188,-0.12617273009105154,1.8625632429013859,-0.05231884820507963,-0.1851854295920845,-0.1710070028433566,0.021721229646503023,-1.3502440042683295,0.08445036457414576,-3.7770260769214237,-0.8693425662522978,23.84,48.709609317559135,0.6027401006517767,-0.6682558875398709,-0.05529733800212622,0.881840643038483,-0.05359034236956983,-0.4120580139972482,-0.1017489997727635
"{'price_vs_sma200_ratio_qbin': 'q_1', 'bullish_ratio_last_50_qbin': 'q_2', 'trade_type': 'buy', 'price_vs_ema50_ratio_qbin': 'q_5'}",794.0,21.0,0.0058740554588567,0.0060226701068637,1.025300177883569,21.53130373555495,7.145771543086173,9850.118347182375,10125.3994894975,80.70140071870021,-1.4988165281762595,30.45380892657188,-0.732031196172817,1.7321445469279464,-0.63954238967377,-0.413195918622387,-0.3447957782486118,0.012133518193964417,-1.882844610866814,0.07331507397452501,-3.8967636188613,-0.8582375749789618,20.88,45.74985563291796,0.7049448456244349,-0.7408746767497368,-0.083254566027533,0.8594935415404007,-0.08150760288792157,-0.642520506685581,-0.15093510732658888
"{'price_vs_sma200_ratio_qbin': 'q_2', 'session': 'London', 'trade_type': 'buy', 'price_vs_sma100_ratio_qbin': 'q_5'}",735.0,15.0,0.0058367346419769,0.0059360543075872,1.0170163064971454,15.25524459745718,4.191543086172344,9853.917270814727,10112.889664482966,53.90908897115718,-1.4608272918527314,30.45380892657188,-0.7224284691613709,1.2145174161785697,-0.6275153885462416,-0.44584885664721596,-0.4070846002689477,-0.08946308729506748,-1.594883846099345,0.04107821207176717,-3.280153282036734,-0.7256086173111155,13.96,44.77211482810394,0.5562642594263218,-0.6532953421184984,-0.0991150156823788,0.8765376241827216,-0.09755897251359809,-0.7381384952417,-0.17134815706891132
